"Semana","Sesión","Sesión semanal","Día","Fecha","Capítulo","Tema","Resultado de aprendizaje de la sesión","ANTES de clase (trabajo autónomo)","DURANTE la clase (2 h)","DESPUÉS de clase (trabajo autónomo)","Monitoría semanal (2 h)","Evidencia / producto","Evaluación propuesta","Horas clase","Horas autónomas","Horas con monitor"
1,1,1,"Lunes","Por definir","1. Estadística descriptiva","Metodología estadística; datos, variables y escalas de medición","Formular un problema, objetivos y variables; clasificar datos y escalas","Revisar guía, microvideo/lectura y responder 3 preguntas de preparación (45 min).","Prueba de entrada; aclaración breve; entrega y presentación de la guía; ejemplo modelado.","Completar notas y preparar dudas para monitoría (45 min).","—","Guía previa + prueba de entrada + explicación breve","Formativa",2,1.5,0
1,2,2,"Miércoles","Por definir","1. Estadística descriptiva","Bases de datos y calidad de la información","Importar, documentar y verificar una base de datos con R","Revisar retroalimentación de la sesión 1 y resolver ejercicios diagnósticos (45 min).","Dudas y preguntas; taller colaborativo basado en problemas; puesta en común y cierre.","Consolidar solución, autoevaluar y registrar hallazgos en portafolio/proyecto (45 min).","Taller semanal con monitor: práctica guiada y retroalimentación (2 h).","Taller resuelto + ticket de salida/portafolio","Formativa",2,1.5,2
2,3,1,"Lunes","Por definir","1. Estadística descriptiva","Tablas de frecuencia: datos cualitativos y cuantitativos","Construir e interpretar tablas de frecuencia","Revisar guía, microvideo/lectura y responder 3 preguntas de preparación (45 min).","Prueba de entrada; aclaración breve; entrega y presentación de la guía; ejemplo modelado.","Completar notas y preparar dudas para monitoría (45 min).","—","Guía previa + prueba de entrada + explicación breve","Formativa",2,1.5,0
2,4,2,"Miércoles","Por definir","1. Estadística descriptiva","Gráficos de frecuencias y diagrama de Pareto","Seleccionar y construir visualizaciones pertinentes","Revisar retroalimentación de la sesión 1 y resolver ejercicios diagnósticos (45 min).","Dudas y preguntas; taller colaborativo basado en problemas; puesta en común y cierre.","Consolidar solución, autoevaluar y registrar hallazgos en portafolio/proyecto (45 min).","Taller semanal con monitor: práctica guiada y retroalimentación (2 h).","Taller resuelto + ticket de salida/portafolio","Formativa",2,1.5,2
3,5,1,"Lunes","Por definir","1. Estadística descriptiva","Indicadores de centro: media, mediana y moda","Calcular e interpretar medidas de centro","Revisar guía, microvideo/lectura y responder 3 preguntas de preparación (45 min).","Prueba de entrada; aclaración breve; entrega y presentación de la guía; ejemplo modelado.","Completar notas y preparar dudas para monitoría (45 min).","—","Guía previa + prueba de entrada + explicación breve","Formativa",2,1.5,0
3,6,2,"Miércoles","Por definir","1. Estadística descriptiva","Indicadores de dispersión y forma","Comparar variabilidad, asimetría y curtosis","Revisar retroalimentación de la sesión 1 y resolver ejercicios diagnósticos (45 min).","Dudas y preguntas; taller colaborativo basado en problemas; puesta en común y cierre.","Consolidar solución, autoevaluar y registrar hallazgos en portafolio/proyecto (45 min).","Taller semanal con monitor: práctica guiada y retroalimentación (2 h).","Taller resuelto + ticket de salida/portafolio","Quiz 1 (5%)",2,1.5,2
4,7,1,"Lunes","Por definir","1. Estadística descriptiva","Posición, caja y bigotes, tallo y hojas","Identificar posición, atípicos y forma de una distribución","Revisar guía, microvideo/lectura y responder 3 preguntas de preparación (45 min).","Prueba de entrada; aclaración breve; entrega y presentación de la guía; ejemplo modelado.","Completar notas y preparar dudas para monitoría (45 min).","—","Guía previa + prueba de entrada + explicación breve","Formativa",2,1.5,0
4,8,2,"Miércoles","Por definir","1. Estadística descriptiva","Análisis conjunto: frecuencias conjunta, marginal y condicional","Analizar relaciones entre dos variables categóricas","Revisar retroalimentación de la sesión 1 y resolver ejercicios diagnósticos (45 min).","Dudas y preguntas; taller colaborativo basado en problemas; puesta en común y cierre.","Consolidar solución, autoevaluar y registrar hallazgos en portafolio/proyecto (45 min).","Taller semanal con monitor: práctica guiada y retroalimentación (2 h).","Taller resuelto + ticket de salida/portafolio","Laboratorio 1 (5%)",2,1.5,2
5,9,1,"Lunes","Por definir","2. Introducción a la probabilidad","Experimentos, espacio muestral y eventos","Modelar fenómenos aleatorios con espacios muestrales y eventos","Revisar guía, microvideo/lectura y responder 3 preguntas de preparación (45 min).","Prueba de entrada; aclaración breve; entrega y presentación de la guía; ejemplo modelado.","Completar notas y preparar dudas para monitoría (45 min).","—","Guía previa + prueba de entrada + explicación breve","Formativa",2,1.5,0
5,10,2,"Miércoles","Por definir","2. Introducción a la probabilidad","Operaciones con eventos y diagramas de Venn","Representar unión, intersección y complemento","Revisar retroalimentación de la sesión 1 y resolver ejercicios diagnósticos (45 min).","Dudas y preguntas; taller colaborativo basado en problemas; puesta en común y cierre.","Consolidar solución, autoevaluar y registrar hallazgos en portafolio/proyecto (45 min).","Taller semanal con monitor: práctica guiada y retroalimentación (2 h).","Taller resuelto + ticket de salida/portafolio","Examen 1 (20%)",2,1.5,2
