GID_1,departamento,pae_sismo_rango,pae_min_millones_cop,pae_max_millones_cop
COL.1_2,Amazonas,0 - 10.000,0,10000
COL.2_2,Antioquia,> 500.000,500000,
COL.3_2,Arauca,50.000 - 100.000,50000,100000
COL.4_2,Atlántico,200.000 - 250.000,200000,250000
COL.5_2,Bogotá D.C.,350.000 - 500.000,350000,500000
COL.6_2,Bolívar,200.000 - 250.000,200000,250000
COL.7_2,Boyacá,250.000 - 300.000,250000,300000
COL.8_2,Caldas,250.000 - 300.000,250000,300000
COL.9_2,Caquetá,200.000 - 250.000,200000,250000
COL.10_2,Casanare,50.000 - 100.000,50000,100000
COL.11_2,Cauca,300.000 - 350.000,300000,350000
COL.12_2,Cesar,200.000 - 250.000,200000,250000
COL.13_2,Chocó,200.000 - 250.000,200000,250000
COL.14_2,Córdoba,200.000 - 250.000,200000,250000
COL.15_2,Cundinamarca,300.000 - 350.000,300000,350000
COL.16_2,Guainía,0 - 10.000,0,10000
COL.17_2,Guaviare,10.000 - 50.000,10000,50000
COL.18_2,Huila,250.000 - 300.000,250000,300000
COL.19_2,La Guajira,50.000 - 100.000,50000,100000
COL.20_2,Magdalena,200.000 - 250.000,200000,250000
COL.21_2,Meta,50.000 - 100.000,50000,100000
COL.22_2,Nariño,300.000 - 350.000,300000,350000
COL.23_2,Norte de Santander,200.000 - 250.000,200000,250000
COL.24_2,Putumayo,50.000 - 100.000,50000,100000
COL.25_2,Quindío,150.000 - 200.000,150000,200000
COL.26_2,Risaralda,350.000 - 500.000,350000,500000
COL.27_1,San Andrés y Providencia,100.000 - 150.000,100000,150000
COL.28_2,Santander,300.000 - 350.000,300000,350000
COL.29_2,Sucre,200.000 - 250.000,200000,250000
COL.30_2,Tolima,250.000 - 300.000,250000,300000
COL.31_2,Valle del Cauca,350.000 - 500.000,350000,500000
COL.32_2,Vaupés,10.000 - 50.000,10000,50000
COL.33_2,Vichada,10.000 - 50.000,10000,50000
